fish name,latitude,longitude,temperature_c,depth_m,distance(km)
Sardine,9.8176,77.253,,,98.23
Grouper,9.2038,78.3629,,,24.93
Salmon,10.5707,79.6817,32.2,,76.52
Anchovy,10.0423,78.1254,29.1,151.0,32.01
Grouper,10.6316,78.6731,,,
Barracuda,10.2706,78.4326,,,
Anchovy,9.9298,77.3888,,,78.37
Salmon,9.9067,78.4676,23.9,,
Grouper,10.5089,78.7551,,547.0,91.49
Grouper,9.8611,79.4059,,476.0,50.93
Grouper,10.5131,79.8002,28.2,,
Sardine,9.835,79.2344,25.4,,
Grouper,9.4523,78.7103,28.3,419.0,
Sardine,10.1661,78.4999,,,
Barracuda,9.2679,78.3951,,,
Mackerel,9.723,77.8352,29.1,,
Grouper,9.9528,78.3351,,,
Snapper,9.7585,79.0602,,,2.19
Barracuda,9.5987,78.0604,,,
Cod,10.6639,78.2325,31.2,42.0,
Tuna,10.1089,79.7921,,,
Salmon,10.4606,77.0258,,,38.79
Sardine,9.7945,77.6719,,,4.5
Tuna,9.4968,77.5394,,,2.23
Barracuda,10.0846,77.7106,28.8,201.0,
Mackerel,9.1887,79.4028,,479.0,
Shark,9.1938,79.5713,,,20.22
Grouper,10.8022,79.6331,26.6,,
Cod,9.575,79.7221,32.9,,
Anchovy,10.4514,77.1984,29.9,,
Tuna,10.2975,79.2462,,81.0,11.42
Cod,9.1578,78.3094,28.9,,31.65
Shark,9.8411,78.4063,23.0,,26.08
Snapper,10.6025,77.0647,,,
Anchovy,9.3133,79.748,,91.0,
Tuna,10.4364,79.2134,25.0,305.0,
Mackerel,10.0695,78.4687,,,40.8
Sardine,10.2379,78.2661,,,
Cod,10.3066,78.3511,,,
Barracuda,9.9955,78.8352,,,
Cod,9.8469,78.4983,,,96.62
Snapper,9.6358,79.9325,,264.0,
Anchovy,9.1469,78.9188,,,24.38
Snapper,9.3252,79.3685,,,
Grouper,9.8499,78.2768,,,
Cod,9.447,77.6679,26.7,,
Grouper,9.4223,79.8708,,,85.93
Barracuda,9.1366,78.1542,,577.0,
Salmon,10.2817,79.5822,,436.0,14.76
Snapper,9.6606,77.5034,,,
Anchovy,10.1632,79.7801,23.7,,
Cod,10.1195,78.8246,,76.0,
Anchovy,9.1536,78.4876,30.9,,6.6
