Fish Name,Latitude,Longitude,Temperature,Depth,Distance(km)
Anchovy,9.7566,,unknown,?,
Salmon,NA,,unknown,359,
Shark,NA,null,unknown,,78.41
Sardine, 9.8176 ,77.253 ,unknown,,98.23
Sardine,,,,58,NaN
Grouper, 9.2038 ,78.3629 ,unknown,?,24.93
Sardine,NA,79.2706,28.6,422,92.98
Mackerel,,78.2209 ,30.1,213,NaN
Grouper, 10.5987 ,null,unknown,,20.01
Salmon,10.5707,79.6817,32.2,?,76.52
Anchovy,10.0423,78.1254 ,29.1,151,32.01
Shark, 10.7463 ,,27.5,49,22.42
Grouper,10.6316,78.6731 ,unknown,?,NaN
Shark,9.4274,,unknown,,
Mackerel,10.1688,null,,199,4.14
Grouper,9.0562,null,24.2,,NaN
Mackerel,,null,32.7,?,
Tuna,,,unknown,,NaN
Anchovy,9.1395,null,unknown,597,NaN
Cod,,,24.3,355,NaN
Mackerel, 10.4748 ,,,338,NaN
Salmon,NA,null,,?,
Salmon,NA,78.1073,,?,
Barracuda,10.2706,78.4326,unknown,?,NaN
Cod,NA,79.646,,?,NaN
Mackerel,NA,77.21 ,unknown,297,0.52
Anchovy,9.9298,77.3888,,,78.37
Salmon, 9.9067 ,78.4676,23.9,,NaN
Barracuda, 9.4356 ,null,,?,32.62
Barracuda,9.1932,,unknown,,
Snapper, 9.7392 ,,28.9,,44.5
Grouper, 10.5089 ,78.7551,unknown,547,91.49
Tuna,,,,?,52.7
Shark,,77.51 ,,541,
Grouper,,,,572,NaN
Grouper,9.8611,79.4059,,476,50.93
Salmon,,,24.1,,99.17
Anchovy,NA,null,31.0,?,
Grouper, 10.5131 ,79.8002 ,28.2,,
Mackerel,,78.2093,,?,
Cod,10.7523,,32.1,422,56.42
Sardine, 9.835 ,79.2344 ,25.4,,NaN
Tuna, 9.8967 ,null,,468,
Tuna,,null,,352,
Grouper, 9.4523 ,78.7103,28.3,419,
Salmon,,null,unknown,?,
Barracuda,NA,79.4358 ,,,8.77
