Name,Lat,Long,Place,Depth,Temp
Tuna,15.2,72.8,Goa,120,28
Salmon,abc,88.1,Alaska,80,10
Hilsa,22.5,xyz,Kolkata,50,30
Marlin,14.8,73.1,Goa,deep,27
Shark,,70.5,Mumbai,200,29
King Fish,16.3,74.2,Kerala,150,not_available
Pomfret,18.9,72.5,Mumbai,90,31
Anchovy,9.7566,,Goa,unknown,?
Salmon,NA,,Alaska,unknown,359
Shark,NA,null,Kolkata,unknown,
Sardine,9.8176,77.253,Goa,unknown,
Sardine,,,Mumbai,,58
Grouper,9.2038,78.3629,Kerala,unknown,?
Sardine,NA,79.2706,Mumbai,28.6,422
Mackerel,,78.2209,Goa,30.1,213
Grouper,10.5987,null,Alaska,unknown,
Salmon,10.5707,79.6817,Kolkata,32.2,?
Anchovy,10.0423,78.1254,Goa,29.1,151
Shark,10.7463,,Mumbai,27.5,49
Grouper,10.6316,78.6731,Kerala,unknown,?
Shark,9.4274,,Mumbai,unknown,
Mackerel,10.1688,null,Goa,,199
Grouper,9.0562,null,Alaska,24.2,
Mackerel,,null,Kolkata,32.7,?
Tuna,,,Goa,unknown,
Anchovy,9.1395,null,Mumbai,unknown,597
Cod,,,Kerala,24.3,355
Mackerel,10.4748,,Mumbai,,338
Salmon,NA,null,Goa,,?
Salmon,NA,78.1073,Alaska,,?
Barracuda,10.2706,78.4326,Kolkata,unknown,?
Cod,NA,79.646,Goa,,?
Mackerel,NA,77.21,Mumbai,unknown,297
Anchovy,9.9298,77.3888,Kerala,,
Salmon,9.9067,78.4676,Mumbai,23.9,
Barracuda,9.4356,null,Goa,,?
Barracuda,9.1932,,Alaska,unknown,
Snapper,9.7392,,Kolkata,28.9,
Grouper,10.5089,78.7551,Goa,unknown,547
Tuna,,,Mumbai,,?
Shark,,77.51,Kerala,,541
Grouper,,,Mumbai,,572
Grouper,9.8611,79.4059,Goa,,476
Salmon,,,Alaska,24.1,
Anchovy,NA,null,Kolkata,31,?
Grouper,10.5131,79.8002,Goa,28.2,
Mackerel,,78.2093,Mumbai,,?
Cod,10.7523,,Kerala,,
Sardine,9.835,79.2344,Mumbai,,
Tuna,9.8967,null,Goa,,
Tuna,,null,Alaska,,352
Grouper,9.4523,78.7103,Kolkata,28.3,419
Salmon,,null,Goa,unknown,?
Barracuda,NA,79.4358,Mumbai,,
Salmon,,77.3907,Kerala,unknown,?
Barracuda,NA,null,Mumbai,,531
Cod,10.8179,null,Goa,,120
Tuna,,77.8856,Alaska,32.4,
Sardine,10.1661,78.4999,Kolkata,,?
Barracuda,10.5834,,Goa,unknown,?
Snapper,,,Mumbai,,
Tuna,,77.4985,Kerala,,?
Shark,,78.4879,Mumbai,,335
Barracuda,9.6539,null,Goa,23.6,?
Barracuda,9.2679,78.3951,Alaska,unknown,?
Anchovy,,79.1463,Kolkata,,
Grouper,NA,,Goa,,
Sardine,,,Mumbai,25,
Barracuda,NA,,Kerala,28.4,506
Snapper,9.2288,,Mumbai,,?
Snapper,,,Goa,unknown,375
Sardine,,,Alaska,27.9,
Salmon,,null,Kolkata,,435
Anchovy,10.709,,Goa,unknown,?
Sardine,10.3999,null,Mumbai,unknown,?
Tuna,,78.4728,Kerala,,564
Mackerel,,null,Mumbai,32.2,
Sardine,,,Goa,32.5,
Salmon,10.4061,null,Alaska,25.5,?
Mackerel,9.723,77.8352,Kolkata,29.1,?
